club_name,team_name,team_name_raw,age_group,gender,division,bracket,conference,org_season_id,event_id,club_id,team_id,league_name,rank,gp,w,l,d,gf,ga,gd,ppg,pts,qualification,source_url
Internationals SC,,Internationals SC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Ohio Valley 2025-26,69,3931,58,69614,ECNL,5,17,9,5,3,25,18,7,1.76,30,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3931/12/69/0/0
Tennessee SC,,Tennessee SC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Ohio Valley 2025-26,69,3931,1354,117710,ECNL,6,17,8,5,4,21,15,6,1.64,28,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3931/12/69/0/0
Cleveland Force SC,,Cleveland Force SC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Ohio Valley 2025-26,69,3931,3478,71387,ECNL,7,17,7,7,3,22,19,3,1.41,24,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3931/12/69/0/0
Ohio Elite SA,,Ohio Elite SA ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Ohio Valley 2025-26,69,3931,75,69457,ECNL,8,18,6,9,3,20,32,-12,1.16,21,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3931/12/69/0/0
Indy Eleven Pro Academy,,Indy Eleven Pro Academy ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Ohio Valley 2025-26,69,3931,436,72343,ECNL,9,18,4,11,3,27,36,-9,0.83,15,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3931/12/69/0/0
GTFC Impact,,GTFC Impact ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Ohio Valley 2025-26,69,3931,4008,108214,ECNL,10,19,3,14,2,22,57,-35,0.57,11,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3931/12/69/0/0
FC Alliance,,FC Alliance ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Ohio Valley 2025-26,69,3931,1693,113254,ECNL,11,17,1,12,4,9,52,-43,0.41,7,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3931/12/69/0/0
Racing Louisville Academy,,Racing Louisville Academy ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Ohio Valley 2025-26,69,3931,3408,69117,ECNL,12,18,1,14,3,14,66,-52,0.33,6,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3931/12/69/0/0
Portland Thorns,,Portland Thorns ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northwest 2025-26,69,3930,3406,110034,ECNL,1,16,13,1,2,43,4,39,2.56,41,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3930/12/69/0/0
XF Academy,,XF Academy ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northwest 2025-26,69,3930,3476,104549,ECNL,2,13,10,0,3,43,4,39,2.53,33,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3930/12/69/0/0
