club_name,canonical_name,league_name,city,state,source_url,website,website_status,website_discovered_at,source_type,website_source
NC Fusion,Nc Fusion,ECNL Girls,,,https://theecnl.com/sports/directory,https://playclubsoccer.org/club/nc-fusion,,,,database
NCFC Youth,Ncfc,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.ncfcyouth.com,,,,ecnl_directory
OK Energy FC,Ok Energy,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.okenergyfc.org,,,,ecnl_directory
Ohio Elite SA,Ohio Elite Sa,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.ohioelite.com/,,,,ecnl_directory
Ohio Premier,Ohio Premier,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.opsoccer.com/,,,,ecnl_directory
Oregon Surf,Oregon Surf,ECNL Girls,,,https://theecnl.com/sports/directory,https://oregonsurf.org/,,,,ecnl_directory
Orlando Pride,Orlando Pride,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.ocyouthsoccer.com,,,,ecnl_directory
PDA Blue,Pda Blue,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.topdrawersoccer.com/club-soccer-articles/pda-blue-wins-u15-nike-premier-cup_aid53574,,,,database
PDA White,Pda White,ECNL Girls,,,https://theecnl.com/sports/directory,https://youthsoccergames.com/club/new-jersey/50050862,,,,database
PacNW SC,Pacnw,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.federalwaysoccer.com/Default.aspx?tabid=2642882,,,,database
Penn Fusion SA,Penn Fusion Sa,ECNL Girls,,,https://theecnl.com/sports/directory,https://playclubsoccer.org/club/penn-fusion-sa,,,,database
Pipeline SC,Pipeline,ECNL Girls,,,https://theecnl.com/sports/directory,http://pipelinesoccerclub.com/,,,,ecnl_directory
