club_id,club_name_official,club_name_scraped,address_line1,city,state,zip,event_id,league_name,api_url
357,BRYC Academy,BRYC Academy,10722 Ames Street,Fairfax,Virginia,22032,3957,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3957/357/12
629,PWSI Courage,PWSI Courage,14716 Minnieville Rd,Woodbridge,Virginia,22193,3957,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3957/629/12
611,Herndon Youth Soccer,Herndon,PO Box 464,Herndon,Virginia,20172,3957,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3957/611/12
4055,Virginia United FC,Virginia United,2840 Electric Road Suite 100A,Roanoke,Virginia,24018,3957,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3957/4055/12
636,Stafford Soccer,Stafford Revolution,"235 Garrisonville Road, Suite 101",Stafford,Virginia,22554,3957,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3957/636/12
4295,DC Soccer Club,DCSC,2201 Wisconsin Ave,Dc,District Of Columbia,20007,3957,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3957/4295/12
1885,SOCA,SOCA Elite,1685 Polo Grounds Road,Charlottesville,Virginia,22911,3957,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3957/1885/12
628,Beach FC  (VA),Beach FC (VA),3052 Buckner Blvd.,Virginia Beach,Virginia,23453,3957,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3957/628/12
448,LMVSC,LMVSC,6212 Cameron Farms Pl,Alexandria,Virginia,22310,3957,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3957/448/12
3176,Villarreal Virginia Academy,Villarreal VA,PO Box 2816,Springfield,Virginia,22152,3957,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3957/3176/12
4013,Virginia Valor FC,Virginia Valor FC,14810 Murdock Street,Chantilly,Virginia,20151,3957,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3957/4013/12
4370,AC Connecticut,AC Connecticut,153 S Main St,Newtown,Connecticut,06470,3948,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3948/4370/12
4297,New England Surf,New England Surf,65 Green Street,Charlestown,Massachusetts,02129,3948,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3948/4297/12
31,Connecticut FC,Connecticut FC Legacy,667 Amity Road,Bethany,Connecticut,06524,3948,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3948/31/12
342,Select,Select North,55 Recreation Park Drive,Hingham,Massachusetts,02043,3948,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3948/342/12
331,Alleycats,Albany Alleycats,969 Watervliet Shaker Road,Colonie,New York,12205,3948,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3948/331/12
3293,CT Rush,CT Rush Select,"Connecticut Sportsplex, 216 Foxon Road",North Branford,Connecticut,06471,3948,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3948/3293/12
52,FC Stars,FC Stars Skyblue,70 McGovern Blvd,,,,3948,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3948/52/12
4349,CFC North,CFC North,52 Ridgewood Dr,Rocky Hill,Connecticut,06067,3948,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3948/4349/12
1409,East Coast Surf SC,NY Surf,45 Cherry Valley Ave,Ny,New York,11552,3948,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3948/1409/12
435,Quickstrike FC,Quickstrike FC,1 Ardmore Street,New Windor,New York,12553,3948,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3948/435/12
344,NJ Crush FC,NJ Crush FC,1 Tice Rd,Franklin Lakes,New Jersey,07417,3948,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3948/344/12
